facility_name,program_name,facility_address,facility_city,facility_zip
VALLEY SUPER BURGER,VALLEY SUPER BURGER,753 W GLADSTONE ST,AZUSA,91702
PIEOLORY PIZZERIA,PIEOLOGY PIZZERIA,17525 COLIMA RD #A,INDUSTRY,91748
NOAH'S NEW YORK BAGELS #2192,NOAH'S NEW YORK BAGELS,250 N LARCHMONT BLVD,LOS ANGELES,90004
UNIVERSAL STUDIOS HOLLYWOOD,KRUSTY BURGER,100 UNIVERSAL CITY PLZ,UNIVERSAL CITY,91608
7-ELEVEN #18350-C,7-ELEVEN #18350-C,11299 W WASHINGTON BLVD,CULVER CITY,90066
THE PONTE,THE PONTE,8265 BEVERLY BLVD,LOS ANGELES,90045
SMITH PARK,SMITH PARK CONCESSION 1A - SOCCER,6016 ROSEMEAD BLVD,PICO RIVERA,90660
"TOYS ""R"" US #5622",TOYS R US #5622,22035 HAWTHORNE BLVD,TORRANCE,90503
SUPER TIENDA LATINA,SUPER TIENDA LATINA MARKET,10423 S NORMANDIE AVE,LOS ANGELES,90044
IN-N-OUT BURGER #85,IN-N-OUT BURGER #85,4444 VAN NUYS BLVD,SHERMAN OAKS,91403
CHILI'S GRILL & BAR #148,CHILI'S GRILL & BAR #148,6775 FALLBROOK AVE,WEST HILLS,91307
THE FEDERAL BAR,THE FEDERAL BAR,5303 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601
AASHIANA RESTAURANT,AASHIANA  RESTAURANT,245 GENTLE SPRINGS LN,DIAMOND BAR,91765
TONY ROMAS,TONY ROMAS,1000 UNI STU BLVD STE #122,UNIVERSAL CITY,91608
K'S DONUT EMPORIUM,K'S DONUT EMPORIUM,14354 VENTURA BLVD,SHERMAN OAKS,91423
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,674 W ARROW HWY,SAN DIMAS,91773
THE CHART HOUSE,THE CHART HOUSE,13950 PANAY WAY,MARINA DEL REY,90292
JTG RESTAURANT GROUP INC,JTG RESTAURANT GROUP INC,7308 FOOTHILL BLVD,TUJUNGA,91042
THAI GOURMET,THAI GOURMET,12444 OXNARD ST,NORTH HOLLYWOOD,91606
CIRCLE K #2709493,CIRCLE #2709493,22240 S AVALON BLVD,CARSON,90745
MIMI'S CAFE,MIMIS CAFE,19710 NORDHOFF PL,CHATSWORTH,91311
YANGJI GAMJATANG,YANGJI GAMJATANG,3470 W 6TH ST STE 6,LOS ANGELES,90020
AROMA BAKERY CAFE,AROMA BAKERY CAFE,7373 W SUNSET BLVD,LOS ANGELES,90046
CENTRO LATINO MARKET,CENTRO LATINO MARKET,4512 S HOOVER ST,LOS ANGELES,90037
PANTRY'S PIZZA,PANTRY'S PIZZA,1976 S LA CIENEGA BLVD,LOS ANGELES,90034
SHERATON HOTEL,BRASSERIE,6101 W CENTURY BLVD,LOS ANGELES,90045
MASTER BURGER,MASTER BURGER,3420 W SLAUSON AVE STE A,LOS ANGELES,90043
LOS HERMANOS MARKET,RESTAURANT,513 N MACLAY AVE,SAN FERNANDO,91340
DESERT AIRE GOLF COURSE,DESERT AIRE GOLF COURSE,3620 E AVENUE P,PALMDALE,93550
TAJ MAHAL OF INDIA,TAJ MAHAL OF INDIA,8566 W PICO BLVD,LOS ANGELES,90035
JOHNNIES NEW YORK PIZZA,JOHNNIES NEW YORK PIZZA,2805 ABBOT KINNEY BLVD # 2,VENICE,90291
KENTUCKY FRIED CHICKEN,KENTUCKY FRIED CHICKEN,8800 SEPULVEDA BLVD,NORTH HILLS,91343
DJ MARKET,DJ MARKET,3055 W 8TH ST,LOS ANGELES,90005
SHAKEY'S PIZZA #3,SHAKEY'S PIZZA #3,5604 SEPULVEDA BLVD,CULVER CITY,90230
FITCH'S KITCHEN,FITCH'S KITCHEN,300 THE VILLAGE,REDONDO BEACH,90277
AZTECA RESTAURANT,AZTECA RESTAURANT,28643 S WESTERN AVE,RANCHO PALOS VERDES,90275
TACO BELL #22816,TACO BELL #22816,2561 E AVENUE S,PALMDALE,93550
CVS/PHARMACY #09735,CVS # 09735,727 S GLENDORA AVE,WEST COVINA,91790
LAS DELICIAS 2 RESTAURANT,LAS DELICIAS 2 RESTAURANT,27125 SIERRA HWY STE 102,CANYON COUNTRY,91351
BHAN KANOM THAI,BHAN KANOM THAI,5271 HOLLYWOOD BLVD,LOS ANGELES,90027
EL POLLO LOCO #3280,EL POLLO LOCO #3280,1081 GAYLEY AVE,LOS ANGELES,90024
KAY'N DAVE'S,KAY'N DAVE'S,15246 W SUNSET BLVD,PACIFIC PALISADES,90272
"STEIN MART, INC. #402","STEIN MART, INC. #402",3665 PACIFIC COAST HWY,TORRANCE,90505
BLUE TABLE AGOURA HILLS,BLUE TABLE AGOURA HILLS,28912 ROADSIDE DR,AGOURA HILLS,91301
THAI BBQ,THAI BBQ,5324 W HOLLYWOOD BLVD,LOS ANGELES,90027
DELICIAS Y ANTOJITOS,DELICIAS Y ANTOJITOS,15323 PARTHENIA ST,NORTH HILLS,91343
PAPA GUIDO'S PIZZA,PAPA GUIDO'S PIZZA,1521 AVIATION BLVD,REDONDO BEACH,90278
M & T SEAFOOD VILLAGE,M & T SEAFOOD VILLAGE,18904 GALE AVE,INDUSTRY,91748
TACO READY,TACO READY,452 E SAN BERNARDINO RD,COVINA,91723
CORNER KEBAB,CORNER KEBAB,733 S WORKMAN ST,SAN FERNANDO,91340
FRANK DINING HALL,FRANK DINING HALL,260 E BONITA AVE,CLAREMONT,91711
MIRAK RESTAURANT,MIRAK RESTAURANT,1134 S WESTERN AVE STE #A2,LOS ANGELES,90006
PACIFIC FOOD MART BAKERY,PACIFIC FOOD MART BAKERY,1020 N PACIFIC AVE,GLENDALE,91202
KENTUCKY FRIED CHICKEN,KENTUCKY FRIED CHICKEN,7865 E FLORENCE AVE,DOWNEY,90240
TUB TIM SIAM,TUB TIM SIAM,1806 1/2 N HILLHURST AVE,LOS ANGELES,90027
LITTLE CAESARS #5764,LITTLE CAESARS #5764,3084 W TEMPLE AVE,POMONA,91766
DONUT INN,DONUT INN,9079 VAN NUYS BLVD,PANORAMA CITY,91402
SUSHI FOR YOU,SUSHI FOR YOU,18052 SATICOY ST,RESEDA,91335
WETZEL'S PRETZELS,WETZEL'S PRETZELS,1403 3RD STREET PROMENADE,SANTA MONICA,90401
SUPERIOR GROCERS,SUPERIOR GROCERS MEAT MARKET,3480 S LA BREA AVE,LOS ANGELES,90016
LE PAIN QUOTIDIEN,LE PAIN QUOTIDIEN,13045 VENTURA BLVD,STUDIO CITY,91604
PIZZA JOE'S,PIZZA JOE'S,2287 N LAKE AVE,ALTADENA,91001
GOLDEN DRAGON CHINESE REST,GOLDEN DRAGON CHINESE REST,1754 S GRAND AVE,GLENDORA,91740
CINEMARK,CINEMARK LOWER SATELLITE CONCESSION,6081 CENTER DR STE 201,LOS ANGELES,90045
SBARRO PIZZA,SBARRO PIZZA,395 SANTA MONICA PL #384,SANTA MONICA,90401
"PUBLIC HOUSE, BOLA, ELECTRIC LOTUS","PUBLIC HOUSE, BOLA, ELECTRIC LOTUS",1739 N VERMONT AVE,LOS ANGELES,90027
RAKU TERIYAKI HOUSE,RAKU TERIYAKI HOUSE,5416 NORWALK BLVD # B-1,WHITTIER,90601
KOMASA RESTAURANT,KOMASA RESTAURANT,351 E 2ND ST,LOS ANGELES,90012
HWAL UH KWANG JANG,HWAL UH KWANG JANG,730 S WESTERN AVE STE #101,LOS ANGELES,90005
SURATI FARSAN MART,SURATI FARSAN MART,11814 E 186TH ST,ARTESIA,90701
SAM'S CLUB #4824,SAM'S CLUB MEAT DEPT,12920 FOOTHILL BLVD,SAN FERNANDO,91340
OLD VILLAGE,OLD VILLAGE,1100 S CENTRAL AVE STE #D,GLENDALE,91204
DESERT ROSE,DESERT ROSE,1700 HILLHURST AVE,LOS ANGELES,90027
JUICE CRAFTERS,JUICE CRAFTERS,2740 N GRIFFITH PARK,LOS ANGELES,90027
KANG'S KITCHEN,KANG'S KITCHEN,940 E DOMINGUEZ ST STE F,CARSON,90746
HAWAIIAN BBQ HOUSE,HAWAIIAN BBQ HOUSE,3552 W 3RD ST,LOS ANGELES,90020
MICROSOFT THEATER,LOGE GALLERY BOX NORTH,777 W CHICK HEARN CT,LOS ANGELES,90015
SUBWAY,SUBWAY,7239 VAN NUYS BLVD,VAN NUYS,91405
CURRY HOUSE,CURRY HOUSE,500 N ATLANTIC BLVD # #A110,MONTEREY PARK,91754
EL MANGUITO,EL MANGUITO,12650 SHERMAN WAY #19,NORTH HOLLYWOOD,91605
BLIZZ FROZEN YOGURT,BLIZZ FROZEN YOGURT,10033 PARAMOUNT BLVD STE #E,DOWNEY,90240
SUPER A FOODS,SUPER A FOODS-BAKERY,2924 W BEVERLY BLVD,MONTEBELLO,90640
MERCADO DON JUAN #2,MERCADO DON JUAN #2,2100 E NADEAU ST,LOS ANGELES,90001
STARBUCKS COFFEE #11603,STARBUCKS #11603,4900 TOPANGA CANYON BLVD,WOODLAND HILLS,91364
ECHIGO,ECHIGO,12217 SANTA MONICA BLVD STE 201,LOS ANGELES,90025
FOOD 4 LESS #337,FOOD 4 LESS MEAT DEPT #337,615 N AZUSA AVE,WEST COVINA,91790
MI TIENDA MEAT SHOP,MI TIENDA MEAT SHOP,1209 CYPRESS AVE,LOS ANGELES,90065
DON'S DONUTS,DON'S DONUTS,12751 W WASHINGTON BLVD,LOS ANGELES,90066
MCDONALD'S # 5668,MC DONALDS # 5668,950 W FLORAL DR,MONTEREY PARK,91754
RENAISSANCE 96TH STREET BISTRO,RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,90045
THE SAVOY SUPPER CLUB,THE SAVOY SUPPER CLUB,214 S LA BREA AVE,INGLEWOOD,90301
EL POLLO LOCO,EL POLLO LOCO,19300 HAWTHORNE BLVD,TORRANCE,90503
OLIVE GARDEN # 1570,OLIVE GARDEN # 1570,1741 N VICTORY PL,BURBANK,91504
CHUNJU HAN-IL KWAN,CHUNJU HAN-IL KWAN,3450 W 6TH ST STE #106,LOS ANGELES,90020
THE LOFT,THE LOFT,2210 ARTESIA BLVD,TORRANCE,90504
ALBERTO MEXICAN FOOD,ALBERTO MEXICAN FOOD,13805 LOS ANGELES ST,BALDWIN PARK,91706
BISTRO ORIENT,BISTRO ORIENT,21799 VENTURA BLVD,WOODLAND HILLS,91364
SEE'S CANDIES #LA-85,SEE'S CANDIES #LA-85,6259 TOPANGA CANYON BLVD,WOODLAND HILLS,91367
J&B DONUTS,J&B DONUTS,2345 W WHITTIER BLVD,MONTEBELLO,90640
CHEVRON FOOD MART #1840,CHEVRON FOOD MART #1840,2400 LINCOLN BLVD,VENICE,90291
WHOLE FOODS MARKET #24,WHOLE FOODS MARKET #24 BAKER,19340 RINALDI ST # 24,PORTER RANCH,91326
LITTLE JOE'S FRESH MEX,LITTLE JOE'S FRESH MEX,4171 E LIVE OAK AVE,ARCADIA,91006
PERSIA LOUNGE & RESTAURANT,PERSIA LOUNGE & RESTAURANT,24328 MAIN ST,NEWHALL,91321
LOS AMIGOS,LOS AMIGOS,13918 E FRANCISQUITO AVE STE B,BALDWIN PARK,91706
SB TOWER,"SB TOWER - 2ND LEVEL BARS: PENNY, TELLER & VAULT",650 S SPRING ST,LOS ANGELES,90014
A.V. PARTNERS FOR HEALTH,A.V. PARTNERS FOR HEALTH,44226 10TH ST W,LANCASTER,93534
PANZANELLA RISTORANTE,PANZANELLA RISTORANTE,14928 VENTURA BLVD,SHERMAN OAKS,91403
HAIGE STAR BOULEVARD,HAIGE STAR BOULEVARD,18438 E COLIMA RD STE #105,ROWLAND HEIGHTS,91748
VOSS,VOSS,3617 W 3RD ST,LOS ANGELES,90020
MICKY'S,MICKY'S,8857 SANTA MONICA BLVD,WEST HOLLYWOOD,90069
WOOD RANCH BBQ & GRILL,WOOD RANCH BBQ & GRILL,9301 TAMPA AVE # 226,NORTHRIDGE,91324
AN AN TONG,AN AN TONG,150 S SAN GABRIEL BLVD,SAN GABRIEL,91776
TAM'S SUPER BURGERS,TAM'S SUPER BURGERS,13448 LAMBERT RD,WHITTIER,90605
HELLENIC CENTER,HELLENIC CENTER,43404 W 30TH ST W,LANCASTER,93536
BEST BURGER,BEST BURGER,4531 W WASHINGTON BLVD,LOS ANGELES,90016
SHALIMAR CUISINE OF INDIA,SHALIMAR CUISINE OF INDIA,23011 VENTURA BLVD,WOODLAND HILLS,91364
ISLANDS FINE BURGERS & DRINKS,ISLAND FINE BURGERS & DRINK,6081 CENTER DR STE 104,LOS ANGELES,90045
RALPHS MARKET #17,RALPH'S GROCERY DELI # 17,8325 LAUREL CANYON BLVD,SUN VALLEY,91352
EL COMANDANTE,EL COMANDANTE,15335 PARTHENIA ST,NORTH HILLS,91343
EL TACAZO,EL TACAZO,4148 FLORENCE AVE,BELL,90201
LSG SKYCHEFS,LSG SKYCHEFS,6901 W IMPERIAL HWY,LOS ANGELES,90045
YUMMY'S,YUMMY'S,250 N ROBERTSON BLVD STE #109,BEVERLY HILLS,90211
AUTENTICO SABOR CASERO,AUTENTICO SABOR CASERO,7526 S HOOVER ST,LOS ANGELES,90044
RALPHS MARKET #85,RALPH'S #85 MEAT DEPT,16123 BELLFLOWER BLVD,BELLFLOWER,90706
FOLKLORE,FOLKLORE,7302 SEPULVEDA BLVD,VAN NUYS,91405
RAMEN  N.A.O.,RAMEN  N.A.O.,610 E GARVEY AVE,MONTEREY PARK,91755
CHANGO,CHANGO,1559 ECHO PARK AVE,LOS ANGELES,90026
NOEMI'S TORTILLERIA,NOEMI'S TORTILLERIA,14350 S PIONEER BLVD,NORWALK,90650
EL POLLO LOCO,EL POLLO LOCO,5001 WILSHIRE BLVD STE 101,LOS ANGELES,90036
FIVE STAR,FIVE STAR,267 S MAIN ST,LOS ANGELES,90012
QUIZNO'S,QUIZNO'S,6257 BRISTOL PKWY,CULVER CITY,90230
WASHINGTON SQUARE MARKET,WASHINGTON SQUARE MARKET,4040 W WASHINGTON BLVD,LOS ANGELES,90018
SUBWAY #23933,SUBWAY #23933,7116 S ATLANTIC AVE,BELL,90201
THE MEXICAN EXPRESS,THE MEXICAN EXPRESS,14316 AMAR RD E,LA PUENTE,91744
EL SUPER TACO DELUXE,EL SUPER TACO DELUXE,11499 JEFFERSON BLVD # #1,CULVER CITY,90230
ARMEN MARKET,ARMEN MARKET,1873 N ALLEN AVE,PASADENA,91104
MAKE OUT,MAKE OUT,9426 WASHINGTON BLVD,CULVER CITY,90232
MUSCLE BEACH LEMONADE,MUSCLE BEACH LEMONADE,3217 GLENDALE GALLERIA,GLENDALE,91210
HONEYSUCKLE,HONEYSUCKLE,3199 E PACIFIC COAST HWY STE 101,SIGNAL HILL,90755
INDIA FOOD & SPICES,MARKET,1208 E HUNTINGTON DR,DUARTE,91010
WAL-MART #2082,WAL-MART #2082 (DELI),12701 TOWNE CENTER DR,CERRITOS,90703
MO BETTER BURGERS,MO BETTER BURGERS,901 S LA BREA AVE STE #2,LOS ANGELES,90036
COYOTE JOE'S,COYOTE JOE'S,113 CATALINA AVE,AVALON,90704
EL RELICARIO MEAT MARKET,EL RELICARIO MEAT MARKET,6008 ATLANTIC BLVD,MAYWOOD,90270
HOT WINGS CAFE #4,HOT WINGS CAFE #4,4609 VAN NUYS BLVD,SHERMAN OAKS,91403
VONS MARKET #1674,STARBUCKS-VONS #1674,4033 LAUREL CANYON BLVD,STUDIO CITY,91604
SOCORRO'S RESTAURANT,SOCORRO'S RESTAURANT,10307 ZELZAH AVE,PORTER RANCH,91326
ON THE RUN WIRELESS,ON THE RUN WIRELESS,10245 SEPULVEDA BLVD,MISSION HILLS,91345
NACHO'S KITCHEN,NACHO'S KITCHEN,2100 N SANTA FE AVE,COMPTON,90222
JACK IN THE BOX #3377,JACK IN THE BOX #3377,1906 S CRENSHAW BLVD,LOS ANGELES,90016
FRESH KOREAN BBQ,FRESH KOREAN BBQ,17623 SHERMAN WAY,VAN NUYS,91406
THE LAKE HOUSE,SNACK SHOP,6331 WOODLEY AVE,VAN NUYS,91406
SUPER BIONICOS,SUPER BIONICOS,14315 E RAMONA BLVD STE #B,BALDWIN PARK,91706
22ND ST BAR AND GRILL,22ND ST BAR AND GRILL,141 W 22ND ST,SAN PEDRO,90731
CHIFA CAFE,CHIFA CAFE,1345 S DIAMOND BAR BLVD STE J,DIAMOND BAR,91765
ASIA FOODS,ASIA FOODS,10200 VENICE BLVD STE #105,CULVER CITY,90232
CARSON MARKET,CARSON MARKET,2625 E CARSON ST,CARSON,90810
LA HERRADURA MEAT MARKET,LA HERRADURA MEAT MARKET,18163 E VALLEY BLVD,LA PUENTE,91744
RED ROBIN BURGER & SPIRITS,RED ROBIN BURGER & SPIRITS,1815 HAWTHORNE BLVD STE 150,REDONDO BEACH,90278
VONS MARKET #2077,VONS BAKERY #2077,3118 S SEPULVEDA BLVD,LOS ANGELES,90034
YOGURTLAND # CA118,"YOGURTLAND, ARTESIA",18170 PIONEER BLVD,ARTESIA,90701
SUBWAY,SUBWAY,4055 W AVENUE L,LANCASTER,93536
LOS PINOS MARKET,LOS PINOS MARKET,4822 HUNTINGTON DR S,LOS ANGELES,90032
JOOM BANGKOK CAFE,JOOM BANGKOK CAFE,7825 BEVERLY BLVD STE 2,LOS ANGELES,90036
ELEPHANT BAR RESTAURANT,ELEPHANT BAR,14303 FIRESTONE BLVD,LA MIRADA,90638
LURE FISH HOUSE,LURE FISH HOUSE,30970 RUSSELL RANCH RD,WESTLAKE VILLAGE,91362
PANDA EXPRESS #1234,PANDA EXPRESS #1234,15303 ROSCOE BLVD,PANORAMA CITY,91402
THE MORRISON,THE MORRISON,3179 LOS FELIZ BLVD,LOS ANGELES,90039
BIRRIERIA TLAQUEPAQUE #2,BIRRIERIA TLAQUEPAQUE #2,1734 E FLORENCE AVE,LOS ANGELES,90001
ROSSMOOR PASTRIES,ROSSMOOR PASTRIES,2325 REDONDO AVE,SIGNAL HILL,90755
MUSASHI,MUSASHI,9046 TAMPA AVE,NORTHRIDGE,91324
THE PALACE,THE PALACE,2112 N HILLHURST AVE,LOS ANGELES,90027
SUBWAY # 61596,SUBWAY # 61596,8672 LINDLEY AVE,NORTHRIDGE,91325
CHICHARROLAND,CHICHARROLAND,4714 S MAIN ST,LOS ANGELES,90037
RICHIE PALMERS PIZZERIA,RICHIE PALMERS PIZZERIA,658 AMERICANA WAY,GLENDALE,91210
OJIYA,OJIYA,15904 E GALE AVE,HACIENDA HEIGHTS,91745
PLAZA FISH MARKET,PLAZA FISH MARKET,4042 S WESTERN AVE,LOS ANGELES,90062
DOUBLE DEAL PIZZA,DOUBLE DEAL PIZZA,8530 FOOTHILL BLVD STE #A,SUNLAND,91040
SUPERIOR GROCERS #140,SUPERIOR GROCERS #140 MEAT DEPT,16100 LAKEWOOD BLVD,BELLFLOWER,90706
EREWHON NATURAL FOOD MARKET,EREWHON MARKET JUICE KITCHEN,7660 BEVERLY BLVD,LOS ANGELES,90036
PHO VIET CALI,PHO VIET CALI,18111 SATICOY ST,RESEDA,91335
7-ELEVEN STORE,7-ELEVEN STORE,3300 W 135TH ST,HAWTHORNE,90250
HINOTORI,HINOTORI,713 W DUARTE RD STE #H,ARCADIA,91007
SUPER PIZZA VELOZ,SUPER PIZZA VELOZ,7625 EASTERN AVE STE A,BELL GARDENS,90201
SUPER WOK RESTAURANT,SUPER WOK RESTAURANT,12919 S ATLANTIC AVE # A,COMPTON,90221
LAS 7 REGIONES DE OAXACA,LAS 7 REGIONES DE OAXACA,2648 W PICO BLVD,LOS ANGELES,90006
INTERNATIONAL BUFFET,INTERNATIONAL BUFFET,2323 VIA CAMPO,MONTEBELLO,90640
FRANKIE & JOHNNIE'S NEWYORK,FRANKIE & JOHNNIE'S NEWYORK,534 WASHINGTON BLVD,MARINA DEL REY,90292
PIT FIRE PIZZA,PIT FIRE PIZZA,12924 W WASHINGTON BLVD,LOS ANGELES,90066
PANERA BREAD #1703,PANERA BREAD #1703,8700 WASHINGTON BLVD,PICO RIVERA,90660
KOME INTERNATIONAL CUISINE,KOME INTERNATIONAL CUISINE,18061 E GALE AVE,INDUSTRY,91748
ARLETA LIQUOR MARKET,ARLETA LIQUOR MARKET,14015 VAN NUYS BLVD,ARLETA,91331
WINGSTOP,WINGSTOP,2201 W ROSECRANS AVE,GARDENA,90249
PANDA KING,PANDA KING,11556 E IMPERIAL HWY,NORWALK,90650
EL POLLO LOCO #3785,EL POLLO LOCO #3785,6009 N FIGUEROA ST,LOS ANGELES,90042
TRIMANA GRILL IRW INDALE,TRIMANA GRILL IRW INDALE,4910 RIVERGRADE RD,IRWINDALE,91706
PETIT BISTRO COFFEE SHOP,PETIT BISTRO COFFEE SHOP,16633 VENTURA BLVD STE 520,ENCINO,91436
PORTER RANCH CHEVRON,PORTER RANCH CHEVRON,11240 TAMPA AVE,PORTER RANCH,91326
THE GREAT AMERICAN GRILL & B,THE GREAT AMERICAN GRILL & B,2005 N HIGHLAND AVE,LOS ANGELES,90068
DEL TACO #73,DEL TACO #73,7545 BALBOA BLVD,VAN NUYS,91411
JACK IN THE BOX #370,JACK IN THE BOX #370,1135 N MISSION RD,LOS ANGELES,90033
MI SOMBREREO AZUL,MI SOMBREREO AZUL,20039 VANOWEN ST,WINNETKA,91306
MASHANI GRILL,MASHANI GRILL,25362 CRENSHAW BLVD,TORRANCE,90505
LOUISIANA FRIED CHICKEN & HONG 2,LOUISIANA FRIED CHICKEN & HONG 2,12730 S FIGUEROA ST # 101,LOS ANGELES,90061
SELECTA SUPERMARKET,SELECTA SUPERMARKET,4364 W 3RD ST,LOS ANGELES,90020
R-RANCH MARKET #6,R-RANCH MKT #6 BAKERY & DELI,1800 N LONG BEACH BLVD,COMPTON,90221
QUICK BITES SUBWAY,QUICK BITES SUBWAY,1195 W FOOTHILL BLVD,AZUSA,91702
CAFEINA CAFE,CAFEINA CAFE,408 S PALM AVE,ALHAMBRA,91803
LOS COMPADRES,LOS COMPADRES,633 N SPRING ST STE #  8,LOS ANGELES,90012
SHARKEY'S,SHARKEY'S,808 W AVENUE L,LANCASTER,93534
SUBWAY #21918-1,SUBWAY #21918-1,9200 PLAZA DR,WEST COVINA,91790
DENNY'S #6059,DENNY'S #6059,16907 PIONEER BLVD,ARTESIA,90701
HOUSE OF BOBA,HOUSE OF BOBA,5930 S MAIN ST STE 102,LOS ANGELES,90003
RODREGUS MARKET,RODREGUS MARKET,2812 E CESAR E CHAVEZ AVE,LOS ANGELES,90033
STAPLES CENTER (LEVY),"SUITE'S PANTRY ""C"" LEVEL",1111 S FIGUEROA ST,LOS ANGELES,90015
STOUT BURGERS & BEER,STOUT BURGERS & BEER,111 SANTA MONICA BLVD,SANTA MONICA,90401
ALBERTSON'S #191,ALBERTSON'S #191 - BAKERY & DELI,5015 E DEL AMO BLVD,LAKEWOOD,90712
FIVE GUYS BURGERS & FRIES #1430,FIVE GUYS BURGERS & FRIES #1430,5550 WILSHIRE BLVD STE D,LOS ANGELES,90036
BOTTEGA ROMANA,BOTTEGA ROMANA,215 AVENUE I #101,REDONDO BEACH,90277
METRO BILLIARDS,METRO BILLIARDS,307 E CARSON ST,CARSON,90745
TOMMY'S HAMBURGER,TOMMY'S HAMBURGER,1627 E FULLERTON RD,ROWLAND HEIGHTS,91748
WOK CHINESE RESTAURANT,WOK CHINESE RESTAURANT,1247 S DIAMOND BAR BLVD,DIAMOND BAR,91765
TJ'S SUBMARINE,TJ'S SUBMARINE,1054 N HACIENDA BLVD,LA PUENTE,91744
SHANE HAILANDER PALACE,SHANE HAILANDER PALACE,1695 S AZUSA AVE,HACIENDA HEIGHTS,91745
GUANAJUATO MARKET,GUANAJUATO MARKET,235 S PACIFIC AVE STE #D,SAN PEDRO,90731
BOB TUSQUELLAS SEA FOODS,BOB TUSQUELLAS SEA FOODS,6333 W 3RD ST STE #138,LOS ANGELES,90036
LA BODEGA MEAT AND PRODUCE,LA BODEGA MEAT AND PRODUCE,10915 SAN FERNANDO RD,PACOIMA,91331
SMART & FINAL #727,SMART & FINAL #727 - MARKET,280 E COMPTON BLVD,COMPTON,90220
SANTA BARBARA MINI MARKET,SANTA BARBARA MINI MARKET,5037 COMPTON AVE,LOS ANGELES,90011
CAMACHO'S RESTAURANT,CAMACHO'S RESTAURANT,5615 WHITTIER BLVD UNIT A,COMMERCE,90022
COSTCO WHOLESALE #1015,COSTCO BAKERY # 1015,520 N LONE HILL AVE,SAN DIMAS,91773
GLORIA'S RESTAURANT,GLORIAS RESTAURANT,7823 PACIFIC BLVD,HUNTINGTON PARK,90255
LA DONUTS,LA DONUTS,1012 W ROSECRANS AVE,GARDENA,90247
MCDONALD'S #33615,MCDONALD'S # 33615,9185 DE SOTO AVE,CHATSWORTH,91311
BIG 5 SPORTING GOODS #104,BIG 5 SPORTING GOODS #104,24329 MAGIC MOUNTAIN PKWY,VALENCIA,91355
LITTLE CAESARS PIZZA,LITTLE CAESARS PIZZA,1139 E ALOSTA AVE,AZUSA,91702
EL QUEZALTECO,EL QUEZALTECO,3304 W JEFFERSON BLVD,LOS ANGELES,90018
SIZZLER #329,SIZZLER,2421 PACIFIC COAST HWY,LOMITA,90717
JIM'S BURGERS,JIM'S BURGERS,12309 E CARSON ST,HAWAIIAN GARDENS,90716
RED RIBBON BAKESHOP,RED RIBBON BAKESHOP,17202 NORWALK BLVD,ARTESIA,90701
IHOP #782,IHOP #782,8600 S SEPULVEDA BLVD # #0000,LOS ANGELES,90045
HAIF & HALF TEA HOUSE,HAIF & HALF TEA HOUSE,141 N ATLANTIC BLVD STE #112,MONTEREY PARK,91754
TACOS RAUL,TACOS RAUL,1301 E ROSECRANS AVE STE 108,COMPTON,90221
BISTRO BURGER GRILL,BISTRO BURGER GRILL,3605 ARTESIA BLVD,TORRANCE,90504
FORMOSA CAFE,FORMOSA CAFE,7156 SANTA MONICA BLVD,WEST HOLLYWOOD,90046
T.G.I. FRIDAY'S #2158,T.G.I. FRIDAY'S #2158,1725 S ALAMEDA ST,COMPTON,90220
TACO BELL / A&W,TACO BELL / A&W,1000 E VICTORIA ST # 210M,CARSON,90747
RODEO MEXICAN GRILL #2,RODEO MEXICAN GRILL #2,1721 W OLYMPIC BLVD,LOS ANGELES,90015
VONS MARKET #2124,VONS MEAT #2124,7789 FOOTHILL BLVD,TUJUNGA,91042
RINCON DE GUAYABITOS #2,RINCON DE GUAYABITOS #2,134 1/2 N 1ST ST,LA PUENTE,91744
UNITED OIL #148,UNITED OIL #148,800 N WESTERN AVE,LOS ANGELES,90029
EL TARASCO,EL TARASCO,4675 W IMPERIAL HWY,INGLEWOOD,90304
ALL INDIAN SWEETS & SNACKS,ALL INDIAN SWEETS & SNACKS,20916 HAWTHORNE BLVD,TORRANCE,90503
HANSOL LUNCHBOX,HANSOL LUNCHBOX,2520 W 8TH ST STE 101,LOS ANGELES,90057
LANCER'S,LANCER'S,697 N VICTORY BLVD,BURBANK,91502
YC GINSENG & HERB,YC GINSENG & HERB,443 W GARVEY AVE STE #B,MONTEREY PARK,91755
CHIPOTLE MEXICAN GRILL #629,CHIPOTLE MEXICAN GRILL #629,9205 RESEDA BLVD,NORTHRIDGE,91324
LUPITA'S BAKERY,LUPITA'S BAKERY,1848 W FLORENCE AVE,LOS ANGELES,90047
HAGOP RESTAURANT,HAGOP RESTAURANT,14228 VENTURA BLVD,SHERMAN OAKS,91423
CORONA BEACH HOUSE TEMP. STA,CORONA BEACH HOUSE,800 WORLD WAY # 8C,LOS ANGELES,90045
POQUITO MAS,POQUITO MAS,2025 WILSHIRE BLVD # #A,SANTA MONICA,90403
BELLA VISTA,BELLA VISTA,3116 W MAGNOLIA BLVD,BURBANK,91505
